qid	Title	Tags	query
360478	Don t have network connection using a BCM4313 adapter	wireless broadcom	Don t have network connection using a BCM4313 adapter I just upgraded to Ubuntu 13 10  but since the upgrade I don t have internet access via wifi anymore I can See networksConnect to a networkPing myself  localhost  192 168 0 103 I can t Ping others  including other devices on the same wireless network  including the gateway router Resolve hostsAccess any other external resource  whether on my own network or on the internetUsing Wireshark  I noticed my computer is continuously sending ARP requests like  Who has 192 168 0 1  which is the gateway   Tell 192 168 0 103   It doesn t get any replies though  When I ping another IP address for which it knows the mac address  from cache   it turns out a packet loss of  90  occurs  and even if a packet manages to arrive it takes around 3000ms The output of route  n is Kernel IP routing tableDestination     Gateway         Genmask         Flags Metric Ref    Use Iface0 0 0 0         192 168 0 1     0 0 0 0         UG    0      0        0 eth1192 168 0 0     0 0 0 0         255 255 255 0   U     9      0        0 eth1192 168 122 0   0 0 0 0         255 255 255 0   U     0      0        0 virbr0Before upgrading  wifi worked fine  Using other devices  wifi still works fine Resetting the router didn t help  Ethernet still works after upgrading Any suggestions Update  I m using the wl driver  Here s the relevant output of some commands lspci   grep Wireless03 00 0 Network controller  Broadcom Corporation BCM4313 802 11bgn Wireless Network Adapter  rev 01 cat  etc modprobe d blacklist conf     blacklist mac80211blacklist brcm80211blacklist cfg80211blacklist lib80211 crypt tkipblacklist lib80211blacklist b43cat  etc rc localsudo modprobe  r lib80211sudo insmod  lib modules 3 2 0 30 generic pae kernel net wireless lib80211 kosudo insmod  lib modules 3 2 0 30 generic pae kernel net wireless lib80211 crypt wep kosudo insmod  lib modules 3 2 0 30 generic pae kernel net wireless lib80211 crypt tkip kosudo insmod  lib modules 3 2 0 30 generic pae kernel net wireless lib80211 crypt ccmp kosudo modprobe wlexit 0The last lines are probably how I got wireless working after the previous upgrade  wireless has been a problem after each upgrade  Update 2  added information about the exact hardware below The hardware is an integrated device  so I ran lspci  nn   grep  i network  The output is 03 00 0 Network controller  0280   Broadcom Corporation BCM4313 802 11bgn Wireless Network Adapter  14e4 4727   rev 01  wireless broadcom
32800	How can I disable modify the SSH login banner for a given user 	command-line ssh	How can I disable modify the SSH login banner for a given user  How can I disable modify the SSH login banner for a given user  command-line ssh
34	What s the easiest way to set up a LAMP stack 	software-installation lamp	What s the easiest way to set up a LAMP stack  I set up a new VPS instance of Ubuntu and am wondering what the easiest way is to get up and running with a basic LAMP stack  i e  which packages are required  which configuration options need to be tweaked  if any  etc    software-installation lamp
36	What is the performance loss if you run Ubuntu desktop edition on a server machine 	server performance	What is the performance loss if you run Ubuntu desktop edition on a server machine  We have installed Ubuntu desktop edition on our dev server I was wondering if there is any noticeable performance loss compared to the server edition  server performance
37	When installing I m given the option of encrypting my home folder    what does this do 	system-installation encryption ecryptfs	When installing I m given the option of encrypting my home folder    what does this do  Does encrypting my home folder make my computer more secure Do I have to enter my password more if my home folder is encrypted What else should I know about encrypting my home folder  system-installation encryption ecryptfs
1245227	How to add the APT key for Microsoft packages	apt keyrings microsoft	How to add the APT key for Microsoft packages I m trying to install some packages from the Microsoft APT Repository  because I hate Snap with a passion   but I can t seem to be able to add its key   curl https   packages microsoft com keys microsoft asc   sudo apt key add  OKIt says OK  but the key doesn t work   sudo apt update     Err 7 https   packages microsoft com repos vscode stable InRelease  The following signatures couldn t be verified because the public key is not available  NO PUBKEY EB3E94ADBE1229CFReading package lists    DoneW  GPG error  https   packages microsoft com repos vscode stable InRelease  The following signatures couldn t be verified because the public key is not available  NO PUBKEY EB3E94ADBE1229CFE  The repository  https   packages microsoft com repos vscode stable InRelease  is not signed N  Updating from such a repository can t be done securely  and is therefore disabled by default N  See apt secure 8  manpage for repository creation and user configuration details I also tried retrieving the key starting from the NO PUBKEY id printed by apt get   sudo apt key adv   keyserver hkp   keyserver ubuntu com 80   recv EB3E94ADBE1229CFExecuting   tmp apt key gpghome q9IjlmqKv9 gpg 1 sh   keyserver hkp   keyserver ubuntu com 80   recv EB3E94ADBE1229CFgpg  key EB3E94ADBE1229CF   Microsoft  Release signing    not changedgpg  Total number processed  1gpg               unchanged  1It says  not changed  and in fact  nothing changes If I check the output of apt key list I see that all third party keys have a sub rsa4096 except Microsoft s  Is this why it doesn t work   sudo apt key list  etc apt trusted gpg                    pub   rsa4096 2017 05 08  SCEA       1EDD E2CD FC02 5D17 F6DA  9EC0 ADAE 6AD2 8A8F 901Auid             unknown  Sublime HQ Pty Ltd sub   rsa4096 2017 05 08  S pub   rsa4096 2016 04 12  SC       EB4C 1BFD 4F04 2F6D DDCC  EC91 7721 F63B D38B 4796uid             unknown  Google Inc   Linux Packages Signing Authority  sub   rsa4096 2019 07 22  S   expires  2022 07 21 pub   rsa4096 2014 06 13  SC       9FD3 B784 BC1C 6FC3 1A8A  0A1C 1655 A0AB 6857 6280uid             unknown  NodeSource sub   rsa4096 2014 06 13  E pub   rsa2048 2015 10 28  SC       BC52 8686 B50D 79E3 39D3  721C EB3E 94AD BE12 29CFuid             unknown  Microsoft  Release signing       How do I solve this issue Ubuntu 20 04 focal apt keyrings microsoft
32812	Need some help creating a script to rename text files and move them to a directory	bash files scripts	Need some help creating a script to rename text files and move them to a directory I have recently managed to convince my mother to let me switch her PC to Ubuntu  and to make her transition easier I want to automate as many tasks as possible for her  I managed to do quite a bit  however there is a script I d like to leave her with  but  unfortunately I have no knowledge of scripting The purpose would be to rename all text files in a folder  mainly Desktop  named e g   note    w out extension  as  note txt   for interoperability s sake and easy upload to google docs  and move them in a specially designated folder  The commands I d need would be   find files in current folder named note   and not ending in  txt  and rename them as note  txt  move files named note  txt to  home username notesUnfortunately I don t know how to put it in script form so I m asking for help  bash files scripts
163903	Gaming performance difference between Windows and Ubuntu	windows wine games performance playonlinux	Gaming performance difference between Windows and Ubuntu What are the pros cons switching from Windows 7 8 to Ubuntu I mainly develop software and play games I obviously don t play games on my laptop that s why I give Ubuntu a try  But the whole OS looks great and I recently discovered PlayOnLinux How big is the performance hit from Windows games  What if the game supports DX11 and has tessellation  does PlayOnLinux translate DX11 to OpenGL  windows wine games performance playonlinux
66	Upgrade experiences from 8 04 LTS to 10 04 LTS 	10.04 upgrade 8.04	Upgrade experiences from 8 04 LTS to 10 04 LTS  I am running 8 04 desktop as a server and hosting my own web server  has anyone experienced any issues with upgrade from 8 04 to 10 04  10.04 upgrade 8.04
67	How do I enable full color support in Vim 	command-line vim colors	How do I enable full color support in Vim  I have a lovely Vim colorscheme  xoria256  and it looks brilliant in GVim  but when I use normal vim in Terminal  the colorscheme is only partially supported    for example  the default semi transparent aubergine background color is used  How do I make Terminal faithfully render my Vim colorscheme  command-line vim colors
69	Keeping multiple workstations in sync	sync configuration user-data multiple-workstations	Keeping multiple workstations in sync I work with multiple computers for various reasons  I want to keep those computers in sync configuration wise  I already have a VCS based setup that allows me to manually update configurations on multiple hosts  But i m looking for a way to do this automatically What I m looking for is A way to sync configuration  vim  ssh  evolution keeping certain directories in sync  like   Documents This is all user configuration and not system configuration  At times the workstation can be offline or behind a slow link  so being able to detect that and act accordingly is a plus  sync configuration user-data multiple-workstations
393289	How to install libdb4 8   dev or equivalent on 13 10 	installation 13.10 package-management	How to install libdb4 8   dev or equivalent on 13 10  I am trying to test a mod that I ve created of Peercoin I need to install libdb4 8   dev  but it is not available How can I install it or an equivalent Note  this is not a dupe since I cannot install a package of my custom alteration of Peercoin  installation 13.10 package-management
131149	Where else to go for help if not helped at Ask Ubuntu 	community	Where else to go for help if not helped at Ask Ubuntu  What other official places can I go for getting help on Ubuntu if I do not get the help I wanted on Ask Ubuntu  community
1409105	Ubuntu 22 04 SSH the RSA key isn t working since upgrading from 20 04	ssh encryption rsync	Ubuntu 22 04 SSH the RSA key isn t working since upgrading from 20 04 Up until last week I was running Ubuntu 20 04 happily  and then over the weekend decided to back everything up and install 22 04   I ve had a couple of teething issues which I ve solver  however I m having real issues with SSH   I have two first generation WD MyCloud drives which handle all my backups and files both on and away from home   I can still connect to the shares with no problems  however I need to SSH onto both drives in order to run maintenance  backup between cloud drives  etc Initially I couldn t gain SSH access at all after upgrading  however the one fix at this website worked   I can now connect via SSH and entering a password However with Ubuntu 20 04 I had set up a passphrase so that various autyomated scripts that I use using rsync could copy between cloud drives and also between Ubuntu and the cloud drive shares   This was working until I upgraded  now the scripts continually ask me for my password and I can t figure out how to stop it What I was originally doing was runningssh keygen  b 4096to generate a passphrase and thenssh copy id root serverto copy the passphrase acrossIf I then enteredssh root serverit simply connected without asking to my password I know this is going to be due to my cloud drives only supporting the now insecure SSH  but I cannot upgrade it to a more secure one  unless someone knows how   I would prefer to do this to be honest    My maintenance scripts can make up to 20 connections over a period of hours  and to have to sit and constantly enter the password is becoming a pain Can anyone help me get my remote rsync commands working again so they don t keep asking me for my passwordThe terminal outputs as I run through these arecolin colin desktop    ssh  ssh keygen  b 4096Generating public private rsa key pair Enter file in which to save the key   home colin  ssh id rsa   Enter passphrase  empty for no passphrase   Enter same passphrase again  Your identification has been saved in  home colin  ssh id rsaYour public key has been saved in  home colin  ssh id rsa pubThe key fingerprint is SHA256 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx colin colin desktopThe key s randomart image is      RSA 4096               SHA256       colin colin desktop    ssh  ssh copy id root xxx xxx xxx xxx usr bin ssh copy id  INFO  attempting to log in with the new key s   to filter out any that are already installed usr bin ssh copy id  INFO  1 key s  remain to be installed    if you are prompted now it is to install the new keysroot xxx xxx xxx xxx s password  Number of key s  added  1Now try logging into the machine  with     ssh  root xxx xxx xxx xxx  and check to make sure that only the key s  you wanted were added colin colin desktop    ssh  ssh root xxx xxx xxx xxxroot xxx xxx xxx xxx s password  Linux NASServer 3 2 26  1 SMP Thu Jul 9 11 14 15 PDT 2015 wd 2 4 rel armv7lThe programs included with the Debian GNU Linux system are free software the exact distribution terms for each program are described in theindividual files in  usr share doc   copyright Debian GNU Linux comes with ABSOLUTELY NO WARRANTY  to the extentpermitted by applicable law NASServer    cd    sshNASSERVER    ssh  ls  altotal 12drwx       2 root root 4096 May 17 23 32  drwx       7 root root 4096 Apr 28 19 02    rw        1 root root  742 May 17 23 32 authorized keysNASServer    ssh  exitlogoutConnection to xxx xxx xxx xxx closed colin colin desktop    rsync   verbose   archive  e  ssh  p 22    Files  root xxx xxx xxx xxx  shares Files root xxx xxx xxx xxx s password  How this originally came about was that I needed to be able to rsync to and from a remote location without the need for a human intervention regarding security  The instructions I was given were to use ssh keygen to generate public private keys and then ssh copy id to copy the public key to the remote host   I ve just reinstalled 20 04 on another machine and used this successfully and the rsync is working without the need for a password   However if I clear the keys on the server out  reinstall 22 04 and do the same  it still prompts me for the password   I ve updated my question to show the output of the commands as they are being run on Ubuntu 22 04 with the server name obscured for obvious reasons The Terminal output of rsync  vvv followscolin colin desktop    ssh  vvv root xxx xxx xxx xxxOpenSSH 8 9p1 Ubuntu 3  OpenSSL 3 0 2 15 Mar 2022debug1  Reading configuration data  home colin  ssh configdebug3  kex names ok   diffie hellman group1 sha1 diffie hellman group14 sha1 diffie hellman group14 sha256 diffie hellman group16 sha512 diffie hellman group18 sha512 diffie hellman group exchange sha1 diffie hellman group exchange sha256 ecdh sha2 nistp256 ecdh sha2 nistp384 ecdh sha2 nistp521 curve25519 sha256 curve25519 sha256 libssh org sntrup761x25519 sha512 openssh com debug1  Reading configuration data  etc ssh ssh configdebug1   etc ssh ssh config line 19  include  etc ssh ssh config d   conf matched no filesdebug1   etc ssh ssh config line 21  Applying options for  debug2  resolve canonicalize  hostname xxx xxx xxx xxx is addressdebug3  expanded UserKnownHostsFile     ssh known hosts       home colin  ssh known hosts debug3  expanded UserKnownHostsFile     ssh known hosts2       home colin  ssh known hosts2 debug3  ssh connect direct  enteringdebug1  Connecting to xxx xxx xxx xxx  xxx xxx xxx xxx  port 22 debug3  set sock tos  set socket 3 IP TOS 0x10debug1  Connection established debug1  identity file  home colin  ssh id rsa type 0debug1  identity file  home colin  ssh id rsa cert type  1debug1  identity file  home colin  ssh id ecdsa type  1debug1  identity file  home colin  ssh id ecdsa cert type  1debug1  identity file  home colin  ssh id ecdsa sk type  1debug1  identity file  home colin  ssh id ecdsa sk cert type  1debug1  identity file  home colin  ssh id ed25519 type  1debug1  identity file  home colin  ssh id ed25519 cert type  1debug1  identity file  home colin  ssh id ed25519 sk type  1debug1  identity file  home colin  ssh id ed25519 sk cert type  1debug1  identity file  home colin  ssh id xmss type  1debug1  identity file  home colin  ssh id xmss cert type  1debug1  identity file  home colin  ssh id dsa type  1debug1  identity file  home colin  ssh id dsa cert type  1debug1  Local version string SSH 2 0 OpenSSH 8 9p1 Ubuntu 3debug1  Remote protocol version 2 0  remote software version OpenSSH 6 0p1 Debian 4debug1  compat banner  match  OpenSSH 6 0p1 Debian 4 pat OpenSSH  compat 0x04000000debug2  fd 3 setting O NONBLOCKdebug1  Authenticating to xxx xxx xxx xxx 22 as  root debug3  send packet  type 20debug1  SSH2 MSG KEXINIT sentdebug3  receive packet  type 20debug1  SSH2 MSG KEXINIT receiveddebug2  local client KEXINIT proposaldebug2  KEX algorithms  diffie hellman group1 sha1 diffie hellman group14 sha1 diffie hellman group14 sha256 diffie hellman group16 sha512 diffie hellman group18 sha512 diffie hellman group exchange sha1 diffie hellman group exchange sha256 ecdh sha2 nistp256 ecdh sha2 nistp384 ecdh sha2 nistp521 curve25519 sha256 curve25519 sha256 libssh org sntrup761x25519 sha512 openssh com ext info cdebug2  host key algorithms  ssh ed25519 ssh ed25519 cert v01 openssh com sk ssh ed25519 openssh com sk ssh ed25519 cert v01 openssh com ssh rsa ssh dss ecdsa sha2 nistp256 ecdsa sha2 nistp384 ecdsa sha2 nistp521 sk ecdsa sha2 nistp256 openssh com ssh rsa cert v01 openssh com ssh dss cert v01 openssh com ecdsa sha2 nistp256 cert v01 openssh com ecdsa sha2 nistp384 cert v01 openssh com ecdsa sha2 nistp521 cert v01 openssh com sk ecdsa sha2 nistp256 cert v01 openssh comdebug2  ciphers ctos  3des cbc aes128 cbc aes192 cbc aes256 cbc aes128 ctr aes192 ctr aes256 ctr aes128 gcm openssh com aes256 gcm openssh com chacha20 poly1305 openssh comdebug2  ciphers stoc  3des cbc aes128 cbc aes192 cbc aes256 cbc aes128 ctr aes192 ctr aes256 ctr aes128 gcm openssh com aes256 gcm openssh com chacha20 poly1305 openssh comdebug2  MACs ctos  hmac sha1 hmac sha1 96 hmac sha2 256 hmac sha2 512 hmac md5 hmac md5 96 umac 64 openssh com umac 128 openssh com hmac sha1 etm openssh com hmac sha1 96 etm openssh com hmac sha2 256 etm openssh com hmac sha2 512 etm openssh com hmac md5 etm openssh com hmac md5 96 etm openssh com umac 64 etm openssh com umac 128 etm openssh comdebug2  MACs stoc  hmac sha1 hmac sha1 96 hmac sha2 256 hmac sha2 512 hmac md5 hmac md5 96 umac 64 openssh com umac 128 openssh com hmac sha1 etm openssh com hmac sha1 96 etm openssh com hmac sha2 256 etm openssh com hmac sha2 512 etm openssh com hmac md5 etm openssh com hmac md5 96 etm openssh com umac 64 etm openssh com umac 128 etm openssh comdebug2  compression ctos  none zlib openssh com zlibdebug2  compression stoc  none zlib openssh com zlibdebug2  languages ctos  debug2  languages stoc  debug2  first kex follows 0 debug2  reserved 0 debug2  peer server KEXINIT proposaldebug2  KEX algorithms  ecdh sha2 nistp256 ecdh sha2 nistp384 ecdh sha2 nistp521 diffie hellman group exchange sha256 diffie hellman group exchange sha1 diffie hellman group14 sha1 diffie hellman group1 sha1debug2  host key algorithms  ssh rsa ssh dssdebug2  ciphers ctos  aes128 ctr aes192 ctr aes256 ctr arcfour256 arcfour128 aes128 cbc 3des cbc blowfish cbc cast128 cbc aes192 cbc aes256 cbc arcfour rijndael cbc lysator liu sedebug2  ciphers stoc  aes128 ctr aes192 ctr aes256 ctr arcfour256 arcfour128 aes128 cbc 3des cbc blowfish cbc cast128 cbc aes192 cbc aes256 cbc arcfour rijndael cbc lysator liu sedebug2  MACs ctos  hmac md5 hmac sha1 umac 64 openssh com hmac sha2 256 hmac sha2 256 96 hmac sha2 512 hmac sha2 512 96 hmac ripemd160 hmac ripemd160 openssh com hmac sha1 96 hmac md5 96debug2  MACs stoc  hmac md5 hmac sha1 umac 64 openssh com hmac sha2 256 hmac sha2 256 96 hmac sha2 512 hmac sha2 512 96 hmac ripemd160 hmac ripemd160 openssh com hmac sha1 96 hmac md5 96debug2  compression ctos  none zlib openssh comdebug2  compression stoc  none zlib openssh comdebug2  languages ctos  debug2  languages stoc  debug2  first kex follows 0 debug2  reserved 0 debug1  kex  algorithm  diffie hellman group1 sha1debug1  kex  host key algorithm  ssh rsadebug1  kex  server  client cipher  3des cbc MAC  hmac sha1 compression  nonedebug1  kex  client  server cipher  3des cbc MAC  hmac sha1 compression  nonedebug2  bits set  515 1024debug3  send packet  type 30debug1  expecting SSH2 MSG KEX ECDH REPLYdebug3  receive packet  type 31debug1  SSH2 MSG KEX ECDH REPLY receiveddebug1  Server host key  ssh rsa SHA256 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXdebug3  record hostkey  found key type RSA in file  home colin  ssh known hosts 1debug3  load hostkeys file  loaded 1 keys from xxx xxx xxx xxxdebug1  load hostkeys  fopen  home colin  ssh known hosts2  No such file or directorydebug1  load hostkeys  fopen  etc ssh ssh known hosts  No such file or directorydebug1  load hostkeys  fopen  etc ssh ssh known hosts2  No such file or directorydebug1  Host  xxx xxx xxx xxx  is known and matches the RSA host key debug1  Found key in  home colin  ssh known hosts 1debug2  bits set  495 1024debug3  send packet  type 21debug2  ssh set newkeys  mode 1debug1  rekey out after 134217728 blocksdebug1  SSH2 MSG NEWKEYS sentdebug1  expecting SSH2 MSG NEWKEYSdebug3  receive packet  type 21debug1  SSH2 MSG NEWKEYS receiveddebug2  ssh set newkeys  mode 0debug1  rekey in after 134217728 blocksdebug1  get agent identities  bound agent to hostkeydebug1  get agent identities  agent returned 1 keysdebug1  Will attempt key   home colin  ssh id rsa RSA SHA256 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX agentdebug1  Will attempt key   home colin  ssh id ecdsa debug1  Will attempt key   home colin  ssh id ecdsa sk debug1  Will attempt key   home colin  ssh id ed25519 debug1  Will attempt key   home colin  ssh id ed25519 sk debug1  Will attempt key   home colin  ssh id xmss debug1  Will attempt key   home colin  ssh id dsa debug2  pubkey prepare  donedebug3  send packet  type 5debug3  receive packet  type 6debug2  service accept  ssh userauthdebug1  SSH2 MSG SERVICE ACCEPT receiveddebug3  send packet  type 50debug3  receive packet  type 51debug1  Authentications that can continue  publickey passworddebug3  start over  passed a different list publickey passworddebug3  preferred gssapi with mic publickey keyboard interactive passworddebug3  authmethod lookup publickeydebug3  remaining preferred  keyboard interactive passworddebug3  authmethod is enabled publickeydebug1  Next authentication method  publickeydebug1  Offering public key   home colin  ssh id rsa RSA SHA256 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX agentdebug1  send pubkey test  no mutual signature algorithmdebug1  Trying private key   home colin  ssh id ecdsadebug3  no such identity   home colin  ssh id ecdsa  No such file or directorydebug1  Trying private key   home colin  ssh id ecdsa skdebug3  no such identity   home colin  ssh id ecdsa sk  No such file or directorydebug1  Trying private key   home colin  ssh id ed25519debug3  no such identity   home colin  ssh id ed25519  No such file or directorydebug1  Trying private key   home colin  ssh id ed25519 skdebug3  no such identity   home colin  ssh id ed25519 sk  No such file or directorydebug1  Trying private key   home colin  ssh id xmssdebug3  no such identity   home colin  ssh id xmss  No such file or directorydebug1  Trying private key   home colin  ssh id dsadebug3  no such identity   home colin  ssh id dsa  No such file or directorydebug2  we did not send a packet  disable methoddebug3  authmethod lookup passworddebug3  remaining preferred   passworddebug3  authmethod is enabled passworddebug1  Next authentication method  passwordroot xxx xxx xxx xxx s password   ssh encryption rsync
98393	How do I get 2560x1440 resolution within VirtualBox on a Mac 	virtualbox mac	How do I get 2560x1440 resolution within VirtualBox on a Mac  I m trying to get a functional Ubuntu instance running in VirtualBox on my iMac 27    The iMac has a resolution of 2560x1440  and I d like to run Ubuntu in full screen at that resolution I ve installed the Guest Additions that come with VirtualBox  rather than the ones in the archive    I m using Ubuntu 11 10 64 bit   The display currently runs at 1600x1200  and when I run the displays dialog  or xrandr   I get a list of resolutions that are 1600x1200 or smaller  and are all at 4 3 aspect ratio  whereas the iMac monitor is 16 9  The settings for the virtual machine have video memory set to 128MB   Whether I run the VM with or without 3D acceleration makes no difference to the available resolutions  although with 3D acceleration enabled  launched windows aren t visible – a different question perhaps  I have a natty VirtualBox VM that does run at 2560x1440  so I know it s possible   However  I don t know how to achieve it Thanks jml virtualbox mac
131168	How do I uninstall GRUB 	grub2 uninstall	How do I uninstall GRUB  A hard drive that I use only for data storage still has GRUB from past Ubuntu installations How can I remove GRUB from it without harming the rest of the drive s data BackgroundI occasionally move the data drive between computers with various boot order configurations  so I would like it to be non bootable in order to avoid having to accommodate it in each computer s BIOS settings When I power on a computer while only the data drive is attached  the following appears error  no such device  fdf38dd4 9e9d 479d b830 2a6989958503 grub rescue  I can confirm from old backups of  etc fstab that this was the UUID of a root partition that I recently reformatted and which no longer exists  Here s the the data drive s partition table and raw master boot record Please note that I m not interested in workarounds that don t answer my primary question  I can think of several ways to work around this issue  but it bothers me on principle that I don t know how to directly resolve it  Every installation procedure should have a counterpart uninstallation procedure  grub2 uninstall
108	How can I best retest a bug in a newer or development release 	launchpad bug-reporting	How can I best retest a bug in a newer or development release  I have reported a bug that occurs in Karmic on launchpad  and I have been asked to re test it on lucid or maverick  How can I do this best   launchpad bug-reporting
